Country;GDP per capita (constant US$)
Argentina;12625.5
United States of America;65020.4
India;2239.3
United Kingdom;47005.1
France;38975.6
Japan;37079.1
Italy;33774.0
Canada;44388.4
Hong Kong;43548.3
Mexico;10327.0
Australia;61340.7
South Korea;34121.0
Germany;42878.8
Spain;28047.0
Netherlands;50100.2
Denmark;61031.8
Russia;10420.6
Sweden;55521.4
Philippines;3667.6
Poland;17270.0
Iran;5739.9
Afghanistan;372.6
Australia;61340.7
Austria;45851.7
Belgium;44283.2
Brazil;9032.1
Bulgaria;9779.8
China;12174.0
Czech Republic;19800.3
Finland;45939.3
Greece;20826.9
Hungary;16286.8
Iceland;58393.2
Ireland;91783.4
Kenya;1813.8
Luxembourg;105996.7
Malaysia;11691.4
Mongolia;4483.8
New Zealand;41725.0
South Africa;6006.5
Switzerland;89942.5
Thailand;6384.8
United Arab Emirates;46877.4
Singapore;65422.5
Romania;12386.5
